anio,mes,partido,municipio_id,defunciones_femeninas,defunciones_masculinas,total
2020,3,General Paz,6343,1,4,5
2020,4,General Paz,6343,1,2,3
2020,5,General Paz,6343,1,1,2
2020,6,General Paz,6343,2,7,9
2020,7,General Paz,6343,4,3,7
2020,8,General Paz,6343,1,3,4
2020,9,General Paz,6343,1,8,9
2020,10,General Paz,6343,4,3,7
2020,11,General Paz,6343,7,0,7
2020,12,General Paz,6343,2,0,2
2020,1,General Pinto,6351,2,2,4
2020,2,General Pinto,6351,5,4,9
2020,3,General Pinto,6351,4,2,6
2020,4,General Pinto,6351,3,2,5
2020,5,General Pinto,6351,4,5,9
2020,6,General Pinto,6351,3,0,3
2020,7,General Pinto,6351,5,7,12
2020,8,General Pinto,6351,3,4,7
2020,9,General Pinto,6351,0,6,6
2020,10,General Pinto,6351,7,10,17
2020,11,General Pinto,6351,6,11,17
2020,12,General Pinto,6351,3,2,5
2020,1,General Pueyrredón,6357,263,260,523
2020,2,General Pueyrredón,6357,275,218,493
2020,3,General Pueyrredón,6357,290,241,531
2020,4,General Pueyrredón,6357,182,194,376
2020,5,General Pueyrredón,6357,279,265,544
2020,6,General Pueyrredón,6357,274,291,565
